#광역	국회의원선거구	행정동(읍면)	더민주타깃	더민주평균	더민주적극	더민주소극	제3당(무소속)	새누리소극	새누리적극	새누리평균	새누리타깃
서울	강남구갑	역삼2동	 7.083 	 39.830 	 34.865 	 4.965 	 2.118 	 5.651 	 52.401 	 58.052 	 7.769 
서울	강남구갑	논현2동	 6.866 	 39.676 	 34.787 	 4.889 	 1.977 	 2.835 	 55.512 	 58.347 	 4.812 
서울	강남구갑	역삼1동	 6.523 	 48.538 	 44.239 	 4.299 	 2.224 	 3.363 	 45.875 	 49.238 	 5.587 
서울	강남구갑	논현1동	 6.259 	 47.143 	 43.131 	 4.012 	 2.247 	 2.480 	 48.130 	 50.610 	 4.727 
서울	강남구갑	신사동	 6.047 	 31.364 	 27.106 	 4.258 	 1.788 	 3.427 	 63.420 	 66.848 	 5.216 
서울	강남구갑	청담동	 5.905 	 32.247 	 28.214 	 4.033 	 1.871 	 3.668 	 62.213 	 65.882 	 5.540 
서울	강남구갑	압구정동	 4.677 	 21.440 	 18.367 	 3.073 	 1.604 	 2.682 	 74.274 	 76.956 	 4.286 
서울	강남구갑		 6.194 	 37.177 	 32.958 	 4.219 	 1.976 	 3.444 	 57.404 	 60.848 	 5.420 
서울	강남구병	도곡1동	 7.429 	 37.221 	 31.876 	 5.345 	 2.084 	 6.429 	 54.266 	 60.695 	 8.513 
서울	강남구병	삼성2동	 6.446 	 39.453 	 35.196 	 4.257 	 2.190 	 5.619 	 52.739 	 58.358 	 7.808 
서울	강남구병	대치2동	 6.389 	 32.995 	 28.450 	 4.545 	 1.844 	 5.313 	 59.848 	 65.161 	 7.156 
서울	강남구병	대치4동	 6.359 	 46.928 	 42.729 	 4.199 	 2.159 	 4.430 	 46.483 	 50.913 	 6.589 
서울	강남구병	대치1동	 6.207 	 27.495 	 22.953 	 4.542 	 1.665 	 6.395 	 64.445 	 70.840 	 8.061 
서울	강남구병	도곡2동	 5.609 	 25.175 	 21.216 	 3.959 	 1.651 	 6.340 	 66.835 	 73.174 	 7.990 
서울	강남구병	삼성1동	 5.325 	 33.150 	 29.696 	 3.454 	 1.871 	 4.371 	 60.608 	 64.979 	 6.242 
서울	강남구병		 6.252 	 34.631 	 30.302 	 4.329 	 1.923 	 5.557 	 57.889 	 63.446 	 7.480 
서울	강남구을	세곡동	 11.859 	 44.602 	 34.739 	 9.863 	 1.996 	 9.693 	 43.709 	 53.402 	 11.689 
서울	강남구을	일원본동	 7.925 	 42.132 	 36.695 	 5.437 	 2.488 	 6.063 	 49.317 	 55.380 	 8.552 
서울	강남구을	개포1동	 7.153 	 39.065 	 33.983 	 5.082 	 2.071 	 3.766 	 55.099 	 58.864 	 5.837 
서울	강남구을	개포4동	 6.816 	 47.329 	 42.717 	 4.611 	 2.205 	 4.837 	 45.629 	 50.467 	 7.042 
서울	강남구을	일원2동	 6.487 	 45.997 	 41.697 	 4.300 	 2.187 	 4.006 	 47.810 	 51.816 	 6.193 
서울	강남구을	일원1동	 5.629 	 49.369 	 46.078 	 3.291 	 2.338 	 2.472 	 45.821 	 48.293 	 4.810 
서울	강남구을	개포2동	 5.053 	 45.432 	 42.548 	 2.884 	 2.169 	 3.070 	 49.329 	 52.399 	 5.239 
서울	강남구을	수서동	 4.610 	 46.877 	 44.795 	 2.082 	 2.528 	 2.083 	 48.511 	 50.594 	 4.612 
서울	강남구을		 6.942 	 45.100 	 40.406 	 4.694 	 2.248 	 4.499 	 48.153 	 52.652 	 6.747 
서울	강동구갑	명일제2동	 7.892 	 40.070 	 33.896 	 6.174 	 1.718 	 6.686 	 51.526 	 58.213 	 8.404 
서울	강동구갑	강일동	 7.803 	 53.812 	 47.834 	 5.978 	 1.825 	 5.283 	 39.081 	 44.364 	 7.107 
서울	강동구갑	암사제3동	 7.092 	 45.979 	 40.735 	 5.244 	 1.848 	 5.947 	 46.226 	 52.173 	 7.795 
서울	강동구갑	암사제2동	 6.606 	 53.024 	 48.172 	 4.852 	 1.753 	 5.422 	 39.801 	 45.223 	 7.176 
서울	강동구갑	길동	 6.151 	 50.102 	 45.908 	 4.194 	 1.957 	 3.387 	 44.554 	 47.941 	 5.344 
서울	강동구갑	명일제1동	 6.144 	 45.071 	 40.751 	 4.320 	 1.824 	 4.188 	 48.917 	 53.105 	 6.012 
서울	강동구갑	암사제1동	 5.905 	 50.956 	 46.999 	 3.957 	 1.949 	 3.268 	 43.828 	 47.096 	 5.216 
서울	강동구갑	고덕제1동	 5.875 	 48.501 	 44.521 	 3.981 	 1.894 	 4.208 	 45.396 	 49.604 	 6.103 
서울	강동구갑	고덕제2동	 4.528 	 48.516 	 45.975 	 2.542 	 1.987 	 2.824 	 46.673 	 49.497 	 4.811 
서울	강동구갑	상일동	 4.319 	 46.206 	 43.799 	 2.408 	 1.912 	 2.867 	 49.014 	 51.882 	 4.779 
서울	강동구갑		 6.232 	 48.224 	 43.859 	 4.365 	 1.867 	 4.408 	 45.502 	 49.910 	 6.275 
서울	강동구을	둔촌제1동	 8.368 	 43.835 	 37.104 	 6.731 	 1.637 	 3.533 	 50.995 	 54.528 	 5.170 
서울	강동구을	둔촌제2동	 7.414 	 49.646 	 43.788 	 5.858 	 1.555 	 3.326 	 45.472 	 48.798 	 4.882 
서울	강동구을	성내제1동	 6.989 	 52.064 	 46.722 	 5.342 	 1.646 	 3.261 	 43.029 	 46.290 	 4.907 
서울	강동구을	천호제1동	 6.587 	 50.824 	 45.774 	 5.049 	 1.538 	 2.216 	 45.423 	 47.639 	 3.754 
서울	강동구을	성내제3동	 6.574 	 53.637 	 48.673 	 4.964 	 1.610 	 2.640 	 42.113 	 44.753 	 4.251 
서울	강동구을	성내제2동	 6.342 	 53.677 	 48.894 	 4.783 	 1.559 	 2.408 	 42.357 	 44.765 	 3.966 
서울	강동구을	천호제2동	 6.243 	 52.116 	 47.415 	 4.701 	 1.542 	 2.212 	 44.130 	 46.342 	 3.754 
서울	강동구을	천호제3동	 5.594 	 51.814 	 47.804 	 4.010 	 1.584 	 2.050 	 44.552 	 46.602 	 3.634 
서울	강동구을		 6.764 	 50.952 	 45.772 	 5.180 	 1.584 	 2.706 	 44.759 	 47.465 	 4.290 
서울	강북구갑	번제1동	 6.429 	 53.485 	 49.238 	 4.247 	 2.182 	 2.288 	 42.045 	 44.333 	 4.471 
서울	강북구갑	우이동	 6.377 	 48.108 	 44.248 	 3.860 	 2.517 	 1.151 	 48.224 	 49.375 	 3.668 
서울	강북구갑	수유제3동	 5.985 	 51.760 	 48.106 	 3.654 	 2.331 	 1.691 	 44.218 	 45.909 	 4.022 
서울	강북구갑	인수동	 5.959 	 50.834 	 47.278 	 3.556 	 2.403 	 1.297 	 45.466 	 46.763 	 3.700 
서울	강북구갑	수유제2동	 5.428 	 49.187 	 45.888 	 3.300 	 2.129 	 1.952 	 46.732 	 48.684 	 4.080 
서울	강북구갑	수유제1동	 5.155 	 53.601 	 50.816 	 2.784 	 2.370 	 1.724 	 42.306 	 44.029 	 4.094 
서울	강북구갑	번제2동	 4.989 	 54.800 	 52.115 	 2.685 	 2.304 	 1.026 	 41.870 	 42.896 	 3.330 
서울	강북구갑		 5.760 	 51.682 	 48.241 	 3.441 	 2.319 	 1.590 	 44.409 	 45.998 	 3.909 
서울	강북구을	삼각산동	 8.174 	 56.735 	 51.068 	 5.668 	 2.506 	 3.995 	 36.763 	 40.759 	 6.501 
서울	강북구을	번제3동	 6.881 	 53.322 	 49.011 	 4.310 	 2.570 	 1.928 	 42.180 	 44.108 	 4.498 
서울	강북구을	송중동	 5.559 	 54.588 	 51.535 	 3.053 	 2.506 	 1.728 	 41.178 	 42.906 	 4.234 
서울	강북구을	삼양동	 5.362 	 55.826 	 52.936 	 2.889 	 2.473 	 1.842 	 39.859 	 41.701 	 4.315 
서울	강북구을	미아동	 5.218 	 54.516 	 51.624 	 2.892 	 2.325 	 1.410 	 41.749 	 43.159 	 3.735 
서울	강북구을	송천동	 4.561 	 55.020 	 52.848 	 2.172 	 2.389 	 1.306 	 41.285 	 42.591 	 3.695 
서울	강북구을		 5.959 	 55.001 	 51.504 	 3.498 	 2.461 	 2.035 	 40.502 	 42.537 	 4.497 
서울	강서구갑	화곡제3동	 9.814 	 46.847 	 40.979 	 5.868 	 3.947 	 3.341 	 45.866 	 49.207 	 7.287 
서울	강서구갑	화곡제8동	 9.577 	 56.908 	 51.689 	 5.219 	 4.358 	 2.052 	 36.682 	 38.734 	 6.410 
서울	강서구갑	발산제1동	 8.599 	 54.607 	 49.732 	 4.876 	 3.724 	 4.501 	 37.168 	 41.669 	 8.225 
서울	강서구갑	우장산동	 8.543 	 50.016 	 45.224 	 4.792 	 3.751 	 3.672 	 42.561 	 46.233 	 7.424 
서울	강서구갑	화곡제2동	 8.366 	 55.609 	 51.117 	 4.492 	 3.874 	 3.009 	 37.508 	 40.517 	 6.883 
서울	강서구갑	화곡제1동	 8.203 	 55.235 	 50.849 	 4.385 	 3.818 	 2.451 	 38.496 	 40.947 	 6.269 
서울	강서구갑		 8.850 	 53.204 	 48.265 	 4.939 	 3.912 	 3.171 	 39.713 	 42.884 	 7.083 
서울	강서구병	등촌제2동	 8.170 	 48.218 	 43.213 	 5.005 	 3.166 	 3.743 	 44.874 	 48.617 	 6.908 
서울	강서구병	등촌제1동	 8.115 	 53.472 	 46.983 	 6.489 	 1.626 	 6.696 	 38.207 	 44.902 	 8.321 
서울	강서구병	화곡제6동	 7.861 	 48.100 	 43.521 	 4.579 	 3.282 	 3.008 	 45.610 	 48.618 	 6.290 
서울	강서구병	화곡본동	 7.798 	 57.594 	 54.035 	 3.559 	 4.240 	 2.617 	 35.549 	 38.166 	 6.857 
서울	강서구병	염창동	 7.229 	 54.003 	 48.523 	 5.480 	 1.749 	 6.267 	 37.981 	 44.248 	 8.017 
서울	강서구병	화곡제4동	 7.103 	 53.907 	 50.356 	 3.551 	 3.551 	 2.296 	 40.245 	 42.541 	 5.848 
서울	강서구병	가양제3동	 5.292 	 53.663 	 50.410 	 3.253 	 2.039 	 3.655 	 40.643 	 44.298 	 5.694 
서울	강서구병		 7.367 	 52.708 	 48.149 	 4.559 	 2.807 	 4.040 	 40.444 	 44.484 	 6.848 
서울	강서구을	공항동	 6.205 	 50.141 	 45.531 	 4.610 	 1.595 	 3.245 	 45.019 	 48.264 	 4.839 
서울	강서구을	가양제1동	 5.879 	 50.982 	 46.572 	 4.410 	 1.470 	 5.181 	 42.367 	 47.548 	 6.650 
서울	강서구을	등촌제3동	 5.618 	 52.133 	 48.275 	 3.858 	 1.760 	 4.052 	 42.055 	 46.107 	 5.812 
서울	강서구을	방화제1동	 5.012 	 49.431 	 46.015 	 3.417 	 1.595 	 4.153 	 44.821 	 48.974 	 5.748 
서울	강서구을	가양제2동	 4.984 	 49.294 	 46.051 	 3.243 	 1.741 	 3.899 	 45.067 	 48.965 	 5.640 
서울	강서구을	방화제2동	 4.579 	 48.031 	 45.081 	 2.950 	 1.628 	 2.914 	 47.427 	 50.341 	 4.542 
서울	강서구을	방화제3동	 4.381 	 51.689 	 48.994 	 2.695 	 1.685 	 3.417 	 43.208 	 46.625 	 5.103 
서울	강서구을		 5.237 	 50.243 	 46.646 	 3.597 	 1.639 	 3.837 	 44.281 	 48.118 	 5.476 
서울	관악구갑	성현동	 24.455 	 53.628 	 44.717 	 8.911 	 15.543 	 10.828 	 20.000 	 30.828 	 26.372 
서울	관악구갑	은천동	 22.812 	 56.512 	 48.367 	 8.145 	 14.667 	 8.821 	 20.000 	 28.821 	 23.488 
서울	관악구갑	낙성대동	 22.606 	 61.220 	 52.816 	 8.404 	 14.202 	 4.578 	 20.000 	 24.578 	 18.780 
서울	관악구갑	인헌동	 22.385 	 58.670 	 50.670 	 8.000 	 14.385 	 6.945 	 20.000 	 26.945 	 21.330 
서울	관악구갑	행운동	 22.376 	 59.412 	 51.228 	 8.184 	 14.192 	 6.396 	 20.000 	 26.396 	 20.588 
서울	관악구갑	청룡동	 21.989 	 60.435 	 52.344 	 8.091 	 13.897 	 5.667 	 20.000 	 25.667 	 19.565 
서울	관악구갑	청림동	 21.863 	 55.670 	 48.446 	 7.225 	 14.638 	 9.691 	 20.000 	 29.691 	 24.330 
서울	관악구갑	중앙동	 21.619 	 60.307 	 52.240 	 8.066 	 13.553 	 6.141 	 20.000 	 26.141 	 19.693 
서울	관악구갑	남현동	 19.394 	 52.645 	 47.994 	 4.650 	 14.743 	 12.612 	 20.000 	 32.612 	 27.355 
서울	관악구갑	보라매동	 18.603 	 55.094 	 50.520 	 4.574 	 14.029 	 10.877 	 20.000 	 30.877 	 24.906 
서울	관악구갑	신림동	 17.258 	 63.608 	 58.614 	 4.995 	 12.264 	 4.128 	 20.000 	 24.128 	 16.392 
서울	관악구갑		 21.396 	 57.927 	 50.723 	 7.204 	 14.192 	 7.880 	 20.000 	 27.880 	 22.073 
서울	관악구을	대학동	 38.028 	 47.031 	 30.000 	 17.031 	 20.997 	 5.681 	 26.290 	 31.972 	 26.679 
서울	관악구을	서원동	 35.681 	 46.051 	 30.000 	 16.051 	 19.630 	 4.864 	 29.454 	 34.319 	 24.494 
서울	관악구을	서림동	 35.064 	 45.203 	 30.000 	 15.203 	 19.861 	 5.027 	 29.909 	 34.936 	 24.887 
서울	관악구을	신사동	 32.209 	 44.170 	 30.000 	 14.170 	 18.040 	 3.134 	 34.657 	 37.791 	 21.174 
